NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	0
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:48:16	610956.02023332
DATA_INCLUDED	3D
MARKER_NAMES
Frame	Time	
433	1.44000	
434	1.44333	
435	1.44667	
436	1.45000	
437	1.45333	
438	1.45667	
439	1.46000	
440	1.46333	
441	1.46667	
442	1.47000	
443	1.47333	
444	1.47667	
445	1.48000	
446	1.48333	
447	1.48667	
448	1.49000	
449	1.49333	
450	1.49667	
451	1.50000	
452	1.50333	
453	1.50667	
454	1.51000	
455	1.51333	
456	1.51667	
457	1.52000	
458	1.52333	
459	1.52667	
460	1.53000	
461	1.53333	
462	1.53667	
463	1.54000	
464	1.54333	
465	1.54667	
466	1.55000	
467	1.55333	
468	1.55667	
469	1.56000	
470	1.56333	
471	1.56667	
472	1.57000	
473	1.57333	
474	1.57667	
475	1.58000	
476	1.58333	
477	1.58667	
478	1.59000	
479	1.59333	
480	1.59667	
481	1.60000	
482	1.60333	
483	1.60667	
484	1.61000	
485	1.61333	
486	1.61667	
487	1.62000	
488	1.62333	
489	1.62667	
490	1.63000	
491	1.63333	
492	1.63667	
493	1.64000	
494	1.64333	
495	1.64667	
496	1.65000	
497	1.65333	
498	1.65667	
499	1.66000	
500	1.66333	
501	1.66667	
502	1.67000	
503	1.67333	
504	1.67667	
505	1.68000	
506	1.68333	
507	1.68667	
508	1.69000	
509	1.69333	
510	1.69667	
511	1.70000	
512	1.70333	
513	1.70667	
514	1.71000	
515	1.71333	
516	1.71667	
517	1.72000	
518	1.72333	
519	1.72667	
520	1.73000	
521	1.73333	
522	1.73667	
523	1.74000	
524	1.74333	
525	1.74667	
526	1.75000	
527	1.75333	
528	1.75667	
529	1.76000	
530	1.76333	
531	1.76667	
532	1.77000	
533	1.77333	
534	1.77667	
535	1.78000	
536	1.78333	
537	1.78667	
538	1.79000	
539	1.79333	
540	1.79667	
541	1.80000	
542	1.80333	
543	1.80667	
544	1.81000	
545	1.81333	
546	1.81667	
547	1.82000	
548	1.82333	
549	1.82667	
550	1.83000	
551	1.83333	
552	1.83667	
553	1.84000	
554	1.84333	
555	1.84667	
556	1.85000	
557	1.85333	
558	1.85667	
559	1.86000	
560	1.86333	
561	1.86667	
562	1.87000	
563	1.87333	
564	1.87667	
565	1.88000	
566	1.88333	
567	1.88667	
568	1.89000	
569	1.89333	
570	1.89667	
571	1.90000	
572	1.90333	
573	1.90667	
574	1.91000	
575	1.91333	
576	1.91667	
577	1.92000	
578	1.92333	
579	1.92667	
580	1.93000	
581	1.93333	
582	1.93667	
583	1.94000	
584	1.94333	
585	1.94667	
586	1.95000	
587	1.95333	
588	1.95667	
589	1.96000	
590	1.96333	
591	1.96667	
592	1.97000	
593	1.97333	
594	1.97667	
595	1.98000	
596	1.98333	
597	1.98667	
598	1.99000	
599	1.99333	
600	1.99667	
601	2.00000	
602	2.00333	
603	2.00667	
604	2.01000	
605	2.01333	
606	2.01667	
607	2.02000	
608	2.02333	
609	2.02667	
610	2.03000	
611	2.03333	
612	2.03667	
613	2.04000	
614	2.04333	
615	2.04667	
616	2.05000	
617	2.05333	
618	2.05667	
619	2.06000	
620	2.06333	
621	2.06667	
622	2.07000	
623	2.07333	
624	2.07667	
625	2.08000	
626	2.08333	
627	2.08667	
628	2.09000	
629	2.09333	
630	2.09667	
631	2.10000	
632	2.10333	
633	2.10667	
634	2.11000	
635	2.11333	
636	2.11667	
637	2.12000	
638	2.12333	
639	2.12667	
640	2.13000	
641	2.13333	
642	2.13667	
643	2.14000	
644	2.14333	
645	2.14667	
646	2.15000	
647	2.15333	
648	2.15667	
649	2.16000	
650	2.16333	
651	2.16667	
652	2.17000	
653	2.17333	
654	2.17667	
655	2.18000	
656	2.18333	
657	2.18667	
658	2.19000	
659	2.19333	
660	2.19667	
661	2.20000	
662	2.20333	
663	2.20667	
664	2.21000	
665	2.21333	
666	2.21667	
667	2.22000	
668	2.22333	
669	2.22667	
670	2.23000	
671	2.23333	
672	2.23667	
673	2.24000	
674	2.24333	
675	2.24667	
676	2.25000	
677	2.25333	
678	2.25667	
679	2.26000	
680	2.26333	
681	2.26667	
682	2.27000	
683	2.27333	
684	2.27667	
685	2.28000	
686	2.28333	
687	2.28667	
688	2.29000	
689	2.29333	
690	2.29667	
691	2.30000	
692	2.30333	
693	2.30667	
694	2.31000	
695	2.31333	
696	2.31667	
697	2.32000	
698	2.32333	
699	2.32667	
700	2.33000	
701	2.33333	
702	2.33667	
703	2.34000	
704	2.34333	
705	2.34667	
706	2.35000	
707	2.35333	
708	2.35667	
709	2.36000	
710	2.36333	
711	2.36667	
712	2.37000	
713	2.37333	
714	2.37667	
715	2.38000	
716	2.38333	
717	2.38667	
718	2.39000	
719	2.39333	
720	2.39667	
721	2.40000	
722	2.40333	
723	2.40667	
724	2.41000	
725	2.41333	
726	2.41667	
727	2.42000	
728	2.42333	
729	2.42667	
730	2.43000	
731	2.43333	
732	2.43667	
733	2.44000	
734	2.44333	
735	2.44667	
736	2.45000	
737	2.45333	
738	2.45667	
739	2.46000	
740	2.46333	
741	2.46667	
742	2.47000	
743	2.47333	
744	2.47667	
745	2.48000	
746	2.48333	
747	2.48667	
748	2.49000	
749	2.49333	
750	2.49667	
751	2.50000	
752	2.50333	
753	2.50667	
754	2.51000	
755	2.51333	
756	2.51667	
757	2.52000	
758	2.52333	
759	2.52667	
760	2.53000	
761	2.53333	
762	2.53667	
763	2.54000	
764	2.54333	
765	2.54667	
766	2.55000	
767	2.55333	
768	2.55667	
769	2.56000	
770	2.56333	
771	2.56667	
772	2.57000	
773	2.57333	
774	2.57667	
775	2.58000	
776	2.58333	
777	2.58667	
778	2.59000	
779	2.59333	
780	2.59667	
781	2.60000	
782	2.60333	
783	2.60667	
784	2.61000	
785	2.61333	
786	2.61667	
787	2.62000	
788	2.62333	
789	2.62667	
790	2.63000	
791	2.63333	
792	2.63667	
793	2.64000	
794	2.64333	
795	2.64667	
796	2.65000	
797	2.65333	
798	2.65667	
799	2.66000	
800	2.66333	
801	2.66667	
802	2.67000	
803	2.67333	
804	2.67667	
805	2.68000	
806	2.68333	
807	2.68667	
808	2.69000	
809	2.69333	
810	2.69667	
811	2.70000	
812	2.70333	
813	2.70667	
814	2.71000	
815	2.71333	
816	2.71667	
817	2.72000	
818	2.72333	
819	2.72667	
820	2.73000	
821	2.73333	
822	2.73667	
823	2.74000	
824	2.74333	
825	2.74667	
826	2.75000	
827	2.75333	
828	2.75667	
829	2.76000	
830	2.76333	
831	2.76667	
832	2.77000	
833	2.77333	
834	2.77667	
835	2.78000	
836	2.78333	
837	2.78667	
838	2.79000	
839	2.79333	
840	2.79667	
841	2.80000	
842	2.80333	
843	2.80667	
844	2.81000	
845	2.81333	
846	2.81667	
847	2.82000	
848	2.82333	
849	2.82667	
850	2.83000	
851	2.83333	
852	2.83667	
853	2.84000	
854	2.84333	
855	2.84667	
856	2.85000	
857	2.85333	
858	2.85667	
859	2.86000	
860	2.86333	
861	2.86667	
862	2.87000	
863	2.87333	
864	2.87667	
865	2.88000	
866	2.88333	
867	2.88667	
868	2.89000	
869	2.89333	
870	2.89667	
871	2.90000	
872	2.90333	
873	2.90667	
874	2.91000	
875	2.91333	
876	2.91667	
877	2.92000	
878	2.92333	
879	2.92667	
880	2.93000	
881	2.93333	
882	2.93667	
883	2.94000	
884	2.94333	
885	2.94667	
886	2.95000	
887	2.95333	
888	2.95667	
889	2.96000	
890	2.96333	
891	2.96667	
892	2.97000	
893	2.97333	
894	2.97667	
895	2.98000	
896	2.98333	
897	2.98667	
898	2.99000	
899	2.99333	
900	2.99667	
901	3.00000	
902	3.00333	
903	3.00667	
904	3.01000	
905	3.01333	
906	3.01667	
907	3.02000	
908	3.02333	
909	3.02667	
910	3.03000	
911	3.03333	
912	3.03667	
913	3.04000	
914	3.04333	
915	3.04667	
916	3.05000	
917	3.05333	
918	3.05667	
919	3.06000	
920	3.06333	
921	3.06667	
922	3.07000	
923	3.07333	
924	3.07667	
925	3.08000	
926	3.08333	
927	3.08667	
928	3.09000	
929	3.09333	
930	3.09667	
931	3.10000	
932	3.10333	
933	3.10667	
934	3.11000	
935	3.11333	
936	3.11667	
937	3.12000	
938	3.12333	
939	3.12667	
940	3.13000	
941	3.13333	
942	3.13667	
943	3.14000	
944	3.14333	
945	3.14667	
946	3.15000	
947	3.15333	
948	3.15667	
949	3.16000	
950	3.16333	
951	3.16667	
952	3.17000	
953	3.17333	
954	3.17667	
955	3.18000	
956	3.18333	
957	3.18667	
958	3.19000	
959	3.19333	
960	3.19667	
961	3.20000	
962	3.20333	
963	3.20667	
964	3.21000	
965	3.21333	
966	3.21667	
967	3.22000	
968	3.22333	
969	3.22667	
970	3.23000	
971	3.23333	
972	3.23667	
973	3.24000	
974	3.24333	
975	3.24667	
976	3.25000	
977	3.25333	
978	3.25667	
979	3.26000	
980	3.26333	
981	3.26667	
982	3.27000	
983	3.27333	
984	3.27667	
985	3.28000	
986	3.28333	
987	3.28667	
988	3.29000	
989	3.29333	
990	3.29667	
991	3.30000	
992	3.30333	
993	3.30667	
994	3.31000	
995	3.31333	
996	3.31667	
997	3.32000	
998	3.32333	
999	3.32667	
1000	3.33000	
1001	3.33333	
1002	3.33667	
1003	3.34000	
1004	3.34333	
1005	3.34667	
1006	3.35000	
1007	3.35333	
1008	3.35667	
1009	3.36000	
1010	3.36333	
1011	3.36667	
1012	3.37000	
1013	3.37333	
1014	3.37667	
1015	3.38000	
1016	3.38333	
1017	3.38667	
1018	3.39000	
1019	3.39333	
1020	3.39667	
1021	3.40000	
1022	3.40333	
1023	3.40667	
1024	3.41000	
1025	3.41333	
1026	3.41667	
1027	3.42000	
1028	3.42333	
1029	3.42667	
1030	3.43000	
1031	3.43333	
1032	3.43667	
1033	3.44000	
1034	3.44333	
1035	3.44667	
1036	3.45000	
1037	3.45333	
1038	3.45667	
1039	3.46000	
1040	3.46333	
1041	3.46667	
1042	3.47000	
1043	3.47333	
1044	3.47667	
1045	3.48000	
1046	3.48333	
1047	3.48667	
1048	3.49000	
1049	3.49333	
1050	3.49667	
1051	3.50000	
1052	3.50333	
1053	3.50667	
1054	3.51000	
1055	3.51333	
1056	3.51667	
1057	3.52000	
1058	3.52333	
1059	3.52667	
1060	3.53000	
1061	3.53333	
1062	3.53667	
1063	3.54000	
1064	3.54333	
1065	3.54667	
1066	3.55000	
1067	3.55333	
1068	3.55667	
1069	3.56000	
1070	3.56333	
1071	3.56667	
1072	3.57000	
1073	3.57333	
1074	3.57667	
1075	3.58000	
1076	3.58333	
1077	3.58667	
1078	3.59000	
1079	3.59333	
1080	3.59667	
1081	3.60000	
1082	3.60333	
1083	3.60667	
1084	3.61000	
1085	3.61333	
1086	3.61667	
1087	3.62000	
1088	3.62333	
1089	3.62667	
1090	3.63000	
1091	3.63333	
1092	3.63667	
1093	3.64000	
1094	3.64333	
1095	3.64667	
1096	3.65000	
1097	3.65333	
1098	3.65667	
1099	3.66000	
1100	3.66333	
1101	3.66667	
1102	3.67000	
1103	3.67333	
1104	3.67667	
1105	3.68000	
1106	3.68333	
1107	3.68667	
1108	3.69000	
1109	3.69333	
1110	3.69667	
1111	3.70000	
1112	3.70333	
1113	3.70667	
1114	3.71000	
1115	3.71333	
1116	3.71667	
1117	3.72000	
1118	3.72333	
1119	3.72667	
1120	3.73000	
1121	3.73333	
1122	3.73667	
1123	3.74000	
1124	3.74333	
1125	3.74667	
1126	3.75000	
1127	3.75333	
1128	3.75667	
1129	3.76000	
1130	3.76333	
1131	3.76667	
1132	3.77000	
1133	3.77333	
1134	3.77667	
1135	3.78000	
1136	3.78333	
1137	3.78667	
1138	3.79000	
1139	3.79333	
1140	3.79667	
1141	3.80000	
1142	3.80333	
1143	3.80667	
1144	3.81000	
1145	3.81333	
1146	3.81667	
1147	3.82000	
1148	3.82333	
1149	3.82667	
1150	3.83000	
1151	3.83333	
1152	3.83667	
1153	3.84000	
1154	3.84333	
1155	3.84667	
1156	3.85000	
1157	3.85333	
1158	3.85667	
1159	3.86000	
1160	3.86333	
1161	3.86667	
1162	3.87000	
1163	3.87333	
1164	3.87667	
1165	3.88000	
1166	3.88333	
1167	3.88667	
1168	3.89000	
1169	3.89333	
1170	3.89667	
1171	3.90000	
1172	3.90333	
1173	3.90667	
1174	3.91000	
1175	3.91333	
1176	3.91667	
1177	3.92000	
1178	3.92333	
1179	3.92667	
1180	3.93000	
1181	3.93333	
1182	3.93667	
1183	3.94000	
1184	3.94333	
1185	3.94667	
1186	3.95000	
1187	3.95333	
1188	3.95667	
1189	3.96000	
1190	3.96333	
1191	3.96667	
1192	3.97000	
1193	3.97333	
1194	3.97667	
1195	3.98000	
1196	3.98333	
1197	3.98667	
1198	3.99000	
1199	3.99333	
1200	3.99667	
1201	4.00000	
1202	4.00333	
1203	4.00667	
1204	4.01000	
1205	4.01333	
1206	4.01667	
1207	4.02000	
1208	4.02333	
1209	4.02667	
1210	4.03000	
1211	4.03333	
1212	4.03667	
1213	4.04000	
1214	4.04333	
1215	4.04667	
1216	4.05000	
1217	4.05333	
1218	4.05667	
1219	4.06000	
1220	4.06333	
1221	4.06667	
1222	4.07000	
1223	4.07333	
1224	4.07667	
1225	4.08000	
1226	4.08333	
1227	4.08667	
1228	4.09000	
1229	4.09333	
1230	4.09667	
1231	4.10000	
1232	4.10333	
1233	4.10667	
1234	4.11000	
1235	4.11333	
1236	4.11667	
1237	4.12000	
1238	4.12333	
1239	4.12667	
1240	4.13000	
1241	4.13333	
1242	4.13667	
1243	4.14000	
1244	4.14333	
1245	4.14667	
1246	4.15000	
1247	4.15333	
1248	4.15667	
1249	4.16000	
1250	4.16333	
1251	4.16667	
1252	4.17000	
1253	4.17333	
1254	4.17667	
1255	4.18000	
1256	4.18333	
1257	4.18667	
1258	4.19000	
1259	4.19333	
1260	4.19667	
1261	4.20000	
1262	4.20333	
1263	4.20667	
1264	4.21000	
1265	4.21333	
1266	4.21667	
1267	4.22000	
1268	4.22333	
1269	4.22667	
1270	4.23000	
1271	4.23333	
1272	4.23667	
1273	4.24000	
1274	4.24333	
1275	4.24667	
1276	4.25000	
1277	4.25333	
1278	4.25667	
1279	4.26000	
1280	4.26333	
1281	4.26667	
1282	4.27000	
1283	4.27333	
1284	4.27667	
1285	4.28000	
1286	4.28333	
1287	4.28667	
1288	4.29000	
1289	4.29333	
1290	4.29667	
1291	4.30000	
1292	4.30333	
1293	4.30667	
1294	4.31000	
1295	4.31333	
1296	4.31667	
1297	4.32000	
1298	4.32333	
1299	4.32667	
1300	4.33000	
1301	4.33333	
1302	4.33667	
1303	4.34000	
1304	4.34333	
1305	4.34667	
1306	4.35000	
1307	4.35333	
1308	4.35667	
1309	4.36000	
1310	4.36333	
1311	4.36667	
1312	4.37000	
1313	4.37333	
1314	4.37667	
1315	4.38000	
1316	4.38333	
1317	4.38667	
1318	4.39000	
1319	4.39333	
1320	4.39667	
1321	4.40000	
1322	4.40333	
1323	4.40667	
1324	4.41000	
1325	4.41333	
1326	4.41667	
1327	4.42000	
1328	4.42333	
1329	4.42667	
1330	4.43000	
1331	4.43333	
1332	4.43667	
1333	4.44000	
1334	4.44333	
1335	4.44667	
1336	4.45000	
1337	4.45333	
1338	4.45667	
1339	4.46000	
1340	4.46333	
1341	4.46667	
1342	4.47000	
1343	4.47333	
1344	4.47667	
1345	4.48000	
1346	4.48333	
1347	4.48667	
1348	4.49000	
1349	4.49333	
1350	4.49667	
1351	4.50000	
1352	4.50333	
1353	4.50667	
1354	4.51000	
1355	4.51333	
1356	4.51667	
1357	4.52000	
1358	4.52333	
1359	4.52667	
1360	4.53000	
1361	4.53333	
1362	4.53667	
1363	4.54000	
1364	4.54333	
1365	4.54667	
1366	4.55000	
1367	4.55333	
1368	4.55667	
1369	4.56000	
1370	4.56333	
1371	4.56667	
1372	4.57000	
1373	4.57333	
1374	4.57667	
1375	4.58000	
1376	4.58333	
1377	4.58667	
1378	4.59000	
1379	4.59333	
1380	4.59667	
1381	4.60000	
1382	4.60333	
1383	4.60667	
1384	4.61000	
1385	4.61333	
1386	4.61667	
1387	4.62000	
1388	4.62333	
1389	4.62667	
1390	4.63000	
1391	4.63333	
1392	4.63667	
1393	4.64000	
1394	4.64333	
1395	4.64667	
1396	4.65000	
1397	4.65333	
1398	4.65667	
1399	4.66000	
1400	4.66333	
1401	4.66667	
1402	4.67000	
1403	4.67333	
1404	4.67667	
1405	4.68000	
1406	4.68333	
1407	4.68667	
1408	4.69000	
1409	4.69333	
1410	4.69667	
1411	4.70000	
1412	4.70333	
1413	4.70667	
1414	4.71000	
1415	4.71333	
1416	4.71667	
1417	4.72000	
1418	4.72333	
1419	4.72667	
1420	4.73000	
1421	4.73333	
1422	4.73667	
1423	4.74000	
1424	4.74333	
1425	4.74667	
1426	4.75000	
1427	4.75333	
1428	4.75667	
1429	4.76000	
1430	4.76333	
1431	4.76667	
1432	4.77000	
1433	4.77333	
1434	4.77667	
1435	4.78000	
1436	4.78333	
1437	4.78667	
1438	4.79000	
1439	4.79333	
1440	4.79667	
1441	4.80000	
1442	4.80333	
1443	4.80667	
1444	4.81000	
1445	4.81333	
1446	4.81667	
1447	4.82000	
1448	4.82333	
1449	4.82667	
1450	4.83000	
1451	4.83333	
1452	4.83667	
1453	4.84000	
1454	4.84333	
1455	4.84667	
1456	4.85000	
1457	4.85333	
1458	4.85667	
1459	4.86000	
1460	4.86333	
1461	4.86667	
1462	4.87000	
1463	4.87333	
1464	4.87667	
1465	4.88000	
1466	4.88333	
1467	4.88667	
1468	4.89000	
1469	4.89333	
1470	4.89667	
1471	4.90000	
1472	4.90333	
1473	4.90667	
1474	4.91000	
1475	4.91333	
1476	4.91667	
1477	4.92000	
1478	4.92333	
1479	4.92667	
1480	4.93000	
1481	4.93333	
1482	4.93667	
1483	4.94000	
1484	4.94333	
1485	4.94667	
1486	4.95000	
1487	4.95333	
1488	4.95667	
1489	4.96000	
1490	4.96333	
1491	4.96667	
1492	4.97000	
1493	4.97333	
1494	4.97667	
1495	4.98000	
1496	4.98333	
1497	4.98667	
1498	4.99000	
1499	4.99333	
1500	4.99667	
1501	5.00000	
1502	5.00333	
1503	5.00667	
1504	5.01000	
1505	5.01333	
1506	5.01667	
1507	5.02000	
1508	5.02333	
1509	5.02667	
1510	5.03000	
1511	5.03333	
1512	5.03667	
1513	5.04000	
1514	5.04333	
1515	5.04667	
1516	5.05000	
1517	5.05333	
1518	5.05667	
1519	5.06000	
1520	5.06333	
1521	5.06667	
1522	5.07000	
1523	5.07333	
1524	5.07667	
1525	5.08000	
1526	5.08333	
1527	5.08667	
1528	5.09000	
1529	5.09333	
1530	5.09667	
1531	5.10000	
1532	5.10333	
1533	5.10667	
1534	5.11000	
1535	5.11333	
1536	5.11667	
1537	5.12000	
1538	5.12333	
1539	5.12667	
1540	5.13000	
1541	5.13333	
1542	5.13667	
1543	5.14000	
1544	5.14333	
1545	5.14667	
1546	5.15000	
1547	5.15333	
1548	5.15667	
1549	5.16000	
1550	5.16333	
1551	5.16667	
1552	5.17000	
1553	5.17333	
1554	5.17667	
1555	5.18000	
1556	5.18333	
1557	5.18667	
1558	5.19000	
1559	5.19333	
1560	5.19667	
1561	5.20000	
1562	5.20333	
1563	5.20667	
1564	5.21000	
1565	5.21333	
1566	5.21667	
1567	5.22000	
1568	5.22333	
1569	5.22667	
1570	5.23000	
1571	5.23333	
1572	5.23667	
1573	5.24000	
1574	5.24333	
1575	5.24667	
1576	5.25000	
1577	5.25333	
1578	5.25667	
1579	5.26000	
1580	5.26333	
1581	5.26667	
1582	5.27000	
1583	5.27333	
1584	5.27667	
1585	5.28000	
1586	5.28333	
1587	5.28667	
1588	5.29000	
1589	5.29333	
1590	5.29667	
1591	5.30000	
1592	5.30333	
1593	5.30667	
1594	5.31000	
1595	5.31333	
1596	5.31667	
1597	5.32000	
1598	5.32333	
1599	5.32667	
1600	5.33000	
1601	5.33333	
1602	5.33667	
1603	5.34000	
1604	5.34333	
1605	5.34667	
1606	5.35000	
1607	5.35333	
1608	5.35667	
1609	5.36000	
1610	5.36333	
1611	5.36667	
1612	5.37000	
1613	5.37333	
1614	5.37667	
1615	5.38000	
1616	5.38333	
1617	5.38667	
1618	5.39000	
1619	5.39333	
1620	5.39667	
1621	5.40000	
1622	5.40333	
1623	5.40667	
1624	5.41000	
1625	5.41333	
1626	5.41667	
1627	5.42000	
1628	5.42333	
1629	5.42667	
1630	5.43000	
1631	5.43333	
